excitation,campaign_group,record_index,record_duration_s,settle_s,episode_s,dt_s,Ts_s,v_ref_multiplier,edge_time_s,edge_channel,edge_direction,value_from_pct_of_setpoint,value_to_pct_of_setpoint,amplitude_rule,code_ref
ET1,A_tension_factorial,0,7.0,2.0,5.0,0.001,0.001,1.0,2.0,span1,UP,0.0,20.0,+20% of channel setpoint,excitations3.make_ET1 / run_full_sweep
ET3,A_tension_factorial,0,17.0,2.0,5.0,0.001,0.001,1.0,2.0,span1,UP,0.0,20.0,+20% of channel setpoint (cumulative),excitations3.make_ET3 / run_full_sweep
ET3,A_tension_factorial,0,17.0,2.0,5.0,0.001,0.001,1.0,7.0,span2,UP,0.0,20.0,+20% of channel setpoint (cumulative),excitations3.make_ET3 / run_full_sweep
ET3,A_tension_factorial,0,17.0,2.0,5.0,0.001,0.001,1.0,12.0,span3,UP,0.0,20.0,+20% of channel setpoint (cumulative),excitations3.make_ET3 / run_full_sweep
ET6,A_tension_factorial,0,32.0,2.0,5.0,0.001,0.001,1.0,2.0,span1,UP,0.0,20.0,"+20% up then back down, per span",excitations3.make_ET6 / run_full_sweep
ET6,A_tension_factorial,0,32.0,2.0,5.0,0.001,0.001,1.0,7.0,span2,UP,0.0,20.0,"+20% up then back down, per span",excitations3.make_ET6 / run_full_sweep
ET6,A_tension_factorial,0,32.0,2.0,5.0,0.001,0.001,1.0,12.0,span3,UP,0.0,20.0,"+20% up then back down, per span",excitations3.make_ET6 / run_full_sweep
ET6,A_tension_factorial,0,32.0,2.0,5.0,0.001,0.001,1.0,17.0,span1,DOWN,20.0,0.0,"+20% up then back down, per span",excitations3.make_ET6 / run_full_sweep
ET6,A_tension_factorial,0,32.0,2.0,5.0,0.001,0.001,1.0,22.0,span2,DOWN,20.0,0.0,"+20% up then back down, per span",excitations3.make_ET6 / run_full_sweep
ET6,A_tension_factorial,0,32.0,2.0,5.0,0.001,0.001,1.0,27.0,span3,DOWN,20.0,0.0,"+20% up then back down, per span",excitations3.make_ET6 / run_full_sweep
E_Toggle,A_tension_factorial,0,17.0,2.0,5.0,0.001,0.001,1.0,2.0,span1,UP,0.0,20.0,+20% of channel setpoint (staggered toggle),excitations3.make_E_Toggle / run_full_sweep
