plant_id,material,scale,regime_class,regime_pool,zeta_CL_min,E_GPa,h_um,w_mm,EA_N,L1_m,L2_m,L3_m,v0_mps,v_max_mps,T_ref_N,T_max_N,R_UW_m,R_Nip_m,R_RW_m,J_UW_kgm2,J_Nip_kgm2,J_RW_kgm2,f_UW_Nms_per_rad,f_Nip_Nms_per_rad,f_RW_Nms_per_rad,omega_n_UW_rad_s,omega_n_Nip_rad_s,omega_n_RW_rad_s,omega_ss_UW_rad_s,omega_ss_Nip_rad_s,omega_ss_RW_rad_s,u_ss_UW_Nm,u_ss_Nip_Nm,u_ss_RW_Nm,K_vel_UW,K_vel_Nip,K_vel_RW,T_I_s
P001,PE,lab,O-UD,UD,0.151079,0.8,20,200,3200.0,2.0,3.0,3.0,0.5,1.6666666666666667,12.0,40.0,0.15,0.1,0.15,0.11126,0.265196,0.11126,0.707698,1.0,0.707698,17.987952,6.342068,14.687101,3.320833,5.0,3.333333,4.150147,5.0,0.558993,2.801875,2.354647,2.287722,18.539231
P049,PET,lab,O-UD,UD,0.236779,4.0,12,200,9600.0,3.0,2.0,2.0,0.3,1.0,64.8,216.0,0.2,0.1,0.2,0.359562,0.193405,0.359562,3.0,0.163318,3.0,18.867662,15.753852,23.108072,1.489875,3.0,1.5,17.429625,0.489954,-8.46,9.497732,4.265623,11.632299,36.846684
P053,PET,lab,H-Osc,MID,0.349943,4.0,50,200,40000.0,2.0,2.0,3.0,0.5,1.6666666666666667,270.0,900.0,0.2,0.1,0.2,0.445464,0.097544,0.445464,1.685698,0.278819,1.685698,42.377827,45.280865,34.601351,2.483125,5.0,2.5,58.185799,1.394095,-49.785755,26.428915,6.183627,21.579119,37.031738
P060,PET,pilot,O-UD,UD,0.200778,4.0,25,500,50000.0,3.0,10.0,5.0,3.0,10.0,337.5,1125.0,0.25,0.1,0.25,2.382481,0.403738,2.382481,10.0,2.998943,10.0,20.909789,11.128463,16.196653,11.919,30.0,12.0,203.565,89.96829,35.625,69.744047,6.290177,54.023506,15.380138
P139,Paper,prod,O-UD,UD,0.14401,3.0,60,800,144000.0,5.0,20.0,8.0,3.0,10.0,216.0,720.0,0.75,0.2,0.75,90.373903,8.416216,90.373903,3.497247,0.319941,3.497247,13.388625,5.849757,10.584638,3.994,15.0,4.0,175.968005,4.799115,-148.011012,1693.975256,68.925943,1339.205027,9.85467
P158,Al,lab,H-Damp,OD,0.515287,69,15,300,310500,2.0,3.0,3.0,0.3,1.0,229.5,765.0,0.2,0.1,0.2,0.494378,0.180335,0.494378,3.0,1.0,3.0,112.076931,75.75829,91.510431,1.498891,3.0,1.5,50.396674,3.0,-41.4,77.571717,19.12662,63.337042,36.314565
P163,Al,pilot,H-Osc,MID,0.35702,69,12,500,414000,5.0,8.0,5.0,2.0,6.666666666666667,306.0,1020.0,0.3,0.1,0.3,5.73936,0.221068,5.73936,1.052208,0.125884,1.052208,36.033354,48.382938,36.033354,6.661739,20.0,6.666667,98.809535,2.51768,-84.78528,289.531748,14.974287,289.531748,24.662503
P177,Al,prod,O-UD,UD,0.179274,69,15,1200,1242000,8.0,30.0,10.0,5.0,16.666666666666668,918.0,3060.0,0.75,0.2,0.75,937.741061,12.177233,937.741061,1.303144,0.225839,1.303144,9.650184,11.661539,8.631387,6.661739,25.0,6.666667,697.181205,5.645975,-679.812373,12669.123507,198.807384,11331.608551,9.959212
P186,Cu,lab,H-Damp,OD,0.53042,117,10,300,351000,2.0,2.0,2.0,0.1,0.33333333333333337,360.0,1200.0,0.15,0.1,0.15,0.609345,0.272279,0.609345,3.0,0.387705,3.0,80.500429,80.284459,80.500429,0.665983,1.0,0.666667,55.997949,0.387705,-52.0,68.673547,30.603681,68.673547,49.822092
P189,Cu,pilot,O-UD,UD,0.20986,117,6,500,351000,5.0,5.0,5.0,3.0,10.0,360.0,1200.0,0.3,0.1,0.3,44.902091,0.472429,44.902091,10.0,3.0,10.0,11.861962,38.547861,11.861962,9.989744,30.0,10.0,207.897436,90.0,-8.0,745.677655,25.495578,745.677655,17.652976
