group,plant_id,T_log_ms,tau_ratio,MARE_theta_percent
NF,P001,2,0.043102,0.397217
NF,P001,5,0.107755,1.60893
NF,P001,10,0.21551,3.80698
NF,P001,20,0.43102,6.83726
NF,P001,50,1.07755,15.1184
NF,P001,100,2.1551,51.8824
NF,P049,2,0.0649259,0.601875
NF,P049,5,0.162315,2.028
NF,P049,10,0.324629,4.02736
NF,P049,20,0.649259,7.44585
NF,P049,50,1.62315,20.0074
NF,P049,100,3.24629,54.1633
NF,P053,2,0.129431,0.980989
NF,P053,5,0.323577,3.76989
NF,P053,10,0.647153,7.29672
NF,P053,20,1.29431,12.6777
NF,P053,50,3.23577,34.2523
NF,P053,100,6.47153,75.0165
NF,P060,2,0.0552073,0.36085
NF,P060,5,0.138018,1.29844
NF,P060,10,0.276036,2.96617
NF,P060,20,0.552073,6.74367
NF,P060,50,1.38018,24.506
NF,P060,100,2.76036,64.5844
NF,P139,2,0.0296889,0.311739
NF,P139,5,0.0742222,1.41456
NF,P139,10,0.148444,3.34076
NF,P139,20,0.296889,7.82691
NF,P139,50,0.742222,29.0488
NF,P139,100,1.48444,156.309
NF,P158,2,0.266858,2.16631
NF,P158,5,0.667145,8.90765
NF,P158,10,1.33429,17.6839
NF,P158,20,2.66858,30.406
NF,P158,50,6.67145,68.6093
NF,P158,100,13.3429,89.0917
NF,P163,2,0.167657,1.02579
NF,P163,5,0.419143,4.88616
NF,P163,10,0.838286,11.4033
NF,P163,20,1.67657,24.0804
NF,P163,50,4.19143,96.1789
NF,P163,100,8.38286,71.7592
NF,P177,2,0.0496053,4.53287
NF,P177,5,0.124013,21.6896
NF,P177,10,0.248027,51.4578
NF,P177,20,0.496053,113.654
NF,P177,50,1.24013,169.779
NF,P177,100,2.48027,323.394
NF,P186,2,0.262368,1.75364
NF,P186,5,0.655919,7.25301
NF,P186,10,1.31184,14.4717
NF,P186,20,2.62368,26.508
NF,P186,50,6.55919,61.4271
NF,P186,100,13.1184,87.2277
NF,P189,2,0.11753,0.603571
NF,P189,5,0.293825,3.06448
NF,P189,10,0.58765,7.95782
NF,P189,20,1.1753,20.7254
NF,P189,50,2.93825,43.3931
NF,P189,100,5.8765,70.6884
SN,P001,1,0.021551,39.8317
SN,P001,2,0.043102,55.0261
SN,P001,5,0.107755,47.2694
SN,P001,10,0.21551,18.4048
SN,P001,20,0.43102,3.94452
SN,P001,50,1.07755,16.687
SN,P001,100,2.1551,48.9447
SN,P049,1,0.0324629,449.301
SN,P049,2,0.0649259,430.808
SN,P049,5,0.162315,152.43
SN,P049,10,0.324629,29.9832
SN,P049,20,0.649259,8.68115
SN,P049,50,1.62315,23.8458
SN,P049,100,3.24629,52.982
SN,P053,1,0.0647153,767.148
SN,P053,2,0.129431,647.207
SN,P053,5,0.323577,126.979
SN,P053,10,0.647153,20.8843
SN,P053,20,1.29431,17.5832
SN,P053,50,3.23577,46.2668
SN,P053,100,6.47153,68.4415
SN,P060,1,0.0276036,475.28
SN,P060,2,0.0552073,396.231
SN,P060,5,0.138018,134.378
SN,P060,10,0.276036,20.6153
SN,P060,20,0.552073,8.56768
SN,P060,50,1.38018,23.8303
SN,P060,100,2.76036,69.2371
SN,P139,1,0.0148444,667.882
SN,P139,2,0.0296889,516.93
SN,P139,5,0.0742222,178.039
SN,P139,10,0.148444,31.2777
SN,P139,20,0.296889,11.9073
SN,P139,50,0.742222,28.2248
SN,P139,100,1.48444,163.085
SN,P158,1,0.133429,595.074
SN,P158,2,0.266858,220.464
SN,P158,5,0.667145,35.5859
SN,P158,10,1.33429,22.4398
SN,P158,20,2.66858,33.8737
SN,P158,50,6.67145,67.9148
SN,P158,100,13.3429,88.9683
SN,P163,1,0.0838286,529.455
SN,P163,2,0.167657,351.762
SN,P163,5,0.419143,75.7135
SN,P163,10,0.838286,23.0548
SN,P163,20,1.67657,23.1688
SN,P163,50,4.19143,114.561
SN,P163,100,8.38286,67.9654
SN,P177,1,0.0248027,470.974
SN,P177,2,0.0496053,344.427
SN,P177,5,0.124013,190.603
SN,P177,10,0.248027,70.3643
SN,P177,20,0.496053,93.398
SN,P177,50,1.24013,167.293
SN,P177,100,2.48027,307.367
SN,P186,1,0.131184,589.687
SN,P186,2,0.262368,285.658
SN,P186,5,0.655919,50.2275
SN,P186,10,1.31184,16.5573
SN,P186,20,2.62368,28.374
SN,P186,50,6.55919,58.986
SN,P186,100,13.1184,86.8317
SN,P189,1,0.058765,748.964
SN,P189,2,0.11753,657.785
SN,P189,5,0.293825,207.772
SN,P189,10,0.58765,55.8523
SN,P189,20,1.1753,31.7374
SN,P189,50,2.93825,45.1197
SN,P189,100,5.8765,77.7359

